114/12/04,一、日期 ： 中華民國114年12月3日（星期三）0600時至12月4日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（進入西南空域2架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/06/01,一、日期： 中華民國114年5月31日（星期六）0600時至6月1日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（其中逾越海峽中線進入北部及西南空域4架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/31,一、日期： 中華民國114年5月30日（星期五）0600時至5月31日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次（其中逾越海峽中線進入北部、西南及東部空域10架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月29日（星期四）0600時至5月30日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次（其中逾越海峽中線進入北部及東部空域7架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/29,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年5月28日（星期三）0600時至5月29日（星期四）0600時止。 二、活動動態 ： 迄0600時止，偵獲共艦8艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間未偵獲共機，故無提供航跡圖。
114/05/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月27日（星期二）0600時至5月28日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機31架次（其中逾越海峽中線進入北部、中部、西南及東部空域22架次）及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/27,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月26日（星期一）0600時至5月27日（星期二）0600時止。 二、活動動態 迄0600時止，偵獲共機34架次（其中逾越海峽中線進入北部、西南及東南空域34架次）及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月25日（星期日）0600時至5月26日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月24日（星期六）0600時至5月25日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架次（其中逾越海峽中線1架次）及共艦7艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月23日（星期五）0600時至5月24日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越海峽中線進入北部、西南及東部空域6架次）及共艦13艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/23,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月22日（星期四）0600時至5月23日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次（逾越海峽中線進入北部、西南及東部空域18架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/22,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月21日（星期三）0600時至5月22日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機23架次（逾越海峽中線進入北部、西南及東部空域16架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/21,一、日期 ： 中華民國114年5月20日（星期二）0600時至5月21日（星期三）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機15架次（逾越海峽中線進入西南空域15架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/20,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月19日（星期一）0600時至5月20日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（逾越海峽中線進入西南及東部空域6架次）及共艦8艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月18日（星期日）0600時至5月19日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機21架次（其中逾越海峽中線進入北部、西南及東部空域16架次）及共艦8艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月17日（星期六）0600時至5月18日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次（其中逾越海峽中線進入北部、西南及東部空域13架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/17,一、日期： 中華民國114年5月16日（星期五）0600時至5月17日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次（其中逾越海峽中線進入北部、西南及東部空域10架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/16,一、日期： 中華民國114年5月15日（星期四）0600時至5月16日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機21架次（其中逾越海峽中線進入北部、西南及東部空域21架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/15,一、日期 ： 中華民國114年5月14日（星期三）0600時至5月15日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機29架次（其中逾越海峽中線進入北部及西南空域18架次）及共艦9艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/14,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月13日（星期二）0600時至5月14日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機35架次（其中逾越海峽中線進入北部、西南空域25架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/13,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月12日（星期一）0600時至5月13日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機31架次（其中逾越海峽中線進入北部、西南空域30架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/12,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月11日（星期日）0600時至5月12日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機36架次（其中逾越海峽中線進入北部、中部及西南空域17架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/11,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月10日（星期六）0600時至5月11日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/10,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月9日（星期五）0600時至5月10日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次（其中逾越海峽中線及進入東南空域4架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/09,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年5月8日（星期四）0600時至5月9日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次（其中逾越海峽中線及進入西南空域12架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/08,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月7日（星期三）0600時至5月8日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（進入西南空域1架）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/07,一、日期： 中華民國114年5月6日（星期二）0600時至5月7日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（逾越海峽中線進入北部及西南空域3架次）及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/06,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月5日（星期一）0600時至5月6日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次（其中逾越海峽中線進入北部、西南及東部空域12架次）及共艦12艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/05,一、日期： 中華民國114年5月4日（星期日）0600時至5月5日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（其中逾越海峽中線進入北部、西南及東部空域4架次）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/04,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月3日（星期六）0600時至5月4日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（其中逾越海峽中線進入北部、西南及東部空域6架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/03,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月2日（星期五）0600時至5月3日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次（逾越海峽中線進入北部及西南空域7架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年5月1日（星期四）0600時至5月2日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（其中進入西南空域1架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/05/01,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年4月30日（星期三）0600時至5月1日（星期四）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機34架次（其中逾越海峽中線進入北部、西南及東部空域27架）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月29日（星期二）0600時至4月30日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次（其中逾越海峽中線進入北部、西南及東部空域18架）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/29,一、日期： 中華民國114年4月28日（星期一）0600時至4月29日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（其中逾越海峽中線進入北部及西南空域27架）及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/28,一、日期： 中華民國114年4月27日（星期日）0600時至4月28日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機29架次（其中逾越海峽中線進入北、中、西南及東部空域16架）及共艦10艘、公務船4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/27,一、日期： 中華民國114年4月26日（星期六）0600時至4月27日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（其中逾越海峽中線進入西南空域1架）及共艦14艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月25日（星期五）0600時至4月26日（星期六）0600時止。 二、活動動態 迄0600時止，偵獲共機1架（進入西南空域1架）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月24日（星期四）0600時至4月25日（星期五）0600時止。 二、活動動態 迄0600時止，偵獲共機9架次（進入北部及西南空域9架次）、共艦7艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/24,中共解放軍臺海周邊海、空域動態 一、日期 中華民國114年4月23日（星期三）0600時至4月24日（星期四）0600時止。 二、活動動態 迄0600時止，偵獲共機19架次（其中逾越海峽中線進入西南及東部空域14架次）及共艦7艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/23,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月22日（星期二）0600時至4月23日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機29架次（其中逾越海峽中線進入北部、西南及東部空域25架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/22,一、日期 ： 中華民國114年4月21日（星期一）0600時至4月22日（星期二）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機11架次（其中逾越海峽中線進入北部、西南及東部空域9架次）及共艦6艘、公務船4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/21,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年4月20日（星期日）0600時至4月21日（星期一）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機7架次（其中逾越海峽中線進入西南空域1架）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/20,一、日期 ： 中華民國114年4月19日（星期六）0600時至4月20日（星期日）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機1架（逾越海峽中線進入西南空域1架）及共艦6艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/19,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年4月18日（星期五）0600時至4月19日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次（其中逾越海峽中線進入北部及西南空域13架次）及共艦5艘、公務船4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/18,一、日期 ： 中華民國114年4月17日（星期四）0600時至4月18日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線進入北部及西南空域7架次）及共艦6艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/17,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月16日（星期三）0600時至4月17日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機34架次（其中逾越海峽中線進入北、中及西南空域14架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/16,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年4月15日（星期二）0600時至4月16日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機17架次（其中逾越海峽中線進入北部及西南空域11架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/15,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月14日（星期一）0600時至4月15日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（其中逾越海峽中線進入北部、西南及東部空域6架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/14,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月13日（星期日）0600時至4月14日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（進入西南空域2架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/13,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月12日（星期六）0600時至4月13日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間未偵獲共機，故無提供航跡圖。
114/04/12,一、日期： 中華民國114年4月11日（星期五）0600時至4月12日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機34架次（其中逾越海峽中線進入北、中、西南及東部空域19架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/11,一、日期： 中華民國114年4月10日（星期四）0600時至4月11日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次（進入西南空域2架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/10,一、日期： 中華民國114年4月9日（星期三）0600時至4月10日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線進入北部、西南空域9架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/09,一、日期： 中華民國114年4月8日（星期二）0600時至4月9日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機25架次（其中逾越海峽中線進入北部、西南及東部空域18架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/08,一、日期： 中華民國114年4月7日（星期一）0600時至4月8日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次（其中逾越海峽中線進入北部、西南及東部空域15架次）及共艦5艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/07,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月6日（星期日）0600時至4月7日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次（其中逾越海峽中線進入北部空域2架次）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/06,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月5日（星期六）0600時至4月6日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次（其中逾越海峽中線進入北部及東部空域5架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/05,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月4日（星期五）0600時至4月5日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次（其中逾越海峽中線進入西南及東部空域9架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/04,一、日期： 中華民國114年4月3日（星期四）0600時至4月4日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次（其中逾越海峽中線進入北部、西南空域15架次）及共艦9艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/03,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月2日（星期三）0600時至4月3日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機59架次（其中逾越海峽中線進入北部、中部、西南及東部空域31架次）及共艦23艘、公務船8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年4月1日（星期二）0600時至4月2日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機76架次（其中逾越海峽中線進入北部、中部、西南及東部空域37架次）及共艦15艘、公務船4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/04/01,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月31日（星期一）0600時至4月1日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共艦19艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間未偵獲共機，故無提供航跡圖。
114/03/31,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月30日（星期日）0600時至3月31日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間未偵獲共機，故無提供航跡圖。
114/03/30,中共解放軍臺海周邊海、空域動態 一、日期 中華民國114年3月29日（星期六）0600時至3月30日（星期日）0600時止。 二、活動動態 迄0600時止，偵獲共機1架次（逾越海峽中線進入西南空域）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月28日（星期五）0600時至3月29日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架次（進入東部空域）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月27日（星期四）0600時至3月28日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機30架次（其中逾越海峽中線進入北部、中部、西南及東部空域20架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/27,一、日期： 中華民國114年3月26日（星期三）0600時至3月27日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次（其中逾越海峽中線進入北部及西南空域12架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月25日（星期二）0600時至3月26日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（其中逾越海峽中線進入北部及西南空域25架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月24日（星期一）0600時至3月25日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機21架次（其中逾越海峽中線進入北部、西南及東南空域20架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月23日（星期日）0600時至3月24日（星期一）0600時止 二、活動動態： 迄0600時止，偵獲共機9架次（其中逾越海峽中線及進入西南空域7架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/23,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年3月22日（星期六）0600時至3月23日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（其中逾越海峽中線進入北部、西南及東部空域11架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/22,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月21日（星期五）0600時至3月22日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機47架次（其中逾越海峽中線進入北部、西南及東部空域41架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/21,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月20日（星期四）0600時至3月21日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次（其中逾越海峽中線及進入西南空域13架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/20,中共解放軍臺海周邊海、空域動態 一、日期 中華民國114年3月19日（星期三）0600時至3月20日（星期四）0600時止。 二、活動動態 迄0600時止，偵獲共機27架次（其中逾越海峽中線及進入西南空域20架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月18日（星期二）0600時至3月19日（星期三）0600時止。 二、活動動態：迄0600時止，偵獲共機13架次（其中逾越海峽中線進入北部及西南空域6架次）及共艦10艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月17日（星期一）0600時至3月18日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機59架次（其中逾越海峽中線進入北部、中部、西南及東部空域43架次）及共艦9艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、中共空飄氣球活動： 中共空飄氣球計偵獲2顆。
114/03/17,一、日期： 中華民國114年3月16日（星期日）0600時至3月17日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（其中逾越海峽中線7架次）及共艦9艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、中共空飄氣球活動： 中共空飄氣球計偵獲2顆。
114/03/16,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月15日（星期六）0600時至3月16日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架（進入東南空域1架）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/15,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月14日（星期五）0600時至3月15日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（其中逾越海峽中線及進入西南空域3架次）及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/14,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月13日（星期四）0600時至3月14日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次（其中進入西南空域9架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/13,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月12日（星期三）0600時至3月13日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次（其中逾越海峽中線進入北部及西南空域11架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/12,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月11日（星期二）0600時至3月12日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中進入北部、西南及東部空域5架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/11,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月10日（星期一）0600時至3月11日（星期二）0600時止。 二、活動動態 PLA activities： 迄0600時止，偵獲共機13架次（其中進入北部、西南及東部空域8架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/03/10,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年3月9日（星期日）0600時至3月10日（星期一）0600時止。 二、活動動態 PLA activities： 迄0600時止，偵獲共機11架次（其中進入北部、西南空域9架次）及共艦9艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
